ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,Start Date,Best Bookmaker,Best Odds,Fair Odds Average,Expected Value,Outcomes,Result
d588e108bfb467264ce16aaf4907cb25,basketball_ncaab,NCAAB,2026-02-15T02:00:00Z,2026-02-15T02:34:38Z,Cal Baptist Lancers @ Utah Tech Trailblazers,Cal Baptist Lancers,,Polymarket,1.72,1.64,0.05,2.0,Not Found
2af5dd9cc92470be266f4c6f519c62de,basketball_ncaab,NCAAB,2026-02-15T01:06:21Z,2026-02-15T02:34:38Z,Virginia Cavaliers @ Ohio State Buckeyes,Virginia Cavaliers,,Polymarket,2.5,2.41,0.04,2.0,Not Found
d513190b89e339bed96079aa57b72d2d,basketball_ncaab,NCAAB,2026-02-15T01:40:10Z,2026-02-15T02:50:10Z,Auburn Tigers @ Arkansas Razorbacks,Auburn Tigers,2026-02-15,Polymarket,8.33,7.51,0.11,2.0,Not Found
7a7dc69921d6fe9435ab4735ad67ac00,basketball_ncaab,NCAAB,2026-02-15T02:00:46Z,2026-02-15T02:50:10Z,Minnesota Golden Gophers @ Washington Huskies,Minnesota Golden Gophers,2026-02-15,Polymarket,12.5,11.23,0.11,2.0,Not Found
b39dd43c278a98263c450a070de72d9b,basketball_ncaab,NCAAB,2026-02-15T01:53:28Z,2026-02-15T02:50:10Z,Texas Longhorns @ Missouri Tigers,Missouri Tigers,2026-02-15,Polymarket,2.13,2.05,0.04,2.0,Not Found
96ec08f16406ee364d9280a3b5aa43f6,basketball_ncaab,NCAAB,2026-02-15T02:03:00Z,2026-02-15T02:50:10Z,Montana St Bobcats @ Montana Grizzlies,Montana St Bobcats,2026-02-15,Polymarket,2.0,1.94,0.03,2.0,Not Found
780c0868037f3b02fdea6adaf4a2447a,basketball_ncaab,NCAAB,2026-02-15T01:49:13Z,2026-02-15T02:51:24Z,Troy Trojans @ Southern Miss Golden Eagles,Southern Miss Golden Eagles,2026-02-15,Polymarket,4.35,4.15,0.05,2.0,Not Found
70d71f54008cc55a3cd1f5251046264d,basketball_ncaab,NCAAB,2026-02-15T03:41:23Z,2026-02-15T04:31:54Z,Gonzaga Bulldogs @ Santa Clara Broncos,Santa Clara Broncos,2026-02-15,Polymarket,4.35,4.05,0.08,2.0,Not Found
d50155bda3669751f6a79842bc809e33,basketball_ncaab,NCAAB,2026-02-15T18:03:49Z,2026-02-15T18:52:01Z,Indiana Hoosiers @ Illinois Fighting Illini,Indiana Hoosiers,2026-02-15,Polymarket,10.0,7.91,0.26,2.0,Not Found
4afd01dfa70e2464b7d3c4a54bed45d7,basketball_ncaab,NCAAB,2026-02-15T18:07:31Z,2026-02-15T18:52:01Z,Denver Pioneers @ Omaha Mavericks,Denver Pioneers,2026-02-15,Polymarket,7.69,6.49,0.19,2.0,Not Found
7b864d6a5f95914b4098493bca7a3532,basketball_ncaab,NCAAB,2026-02-15T17:01:31Z,2026-02-15T18:52:01Z,Maryland Terrapins @ Rutgers Scarlet Knights,Maryland Terrapins,2026-02-15,Polymarket,10.0,9.49,0.05,2.0,Not Found
49099f3e4864abdf1bd1aea99f34a5d8,basketball_ncaab,NCAAB,2026-02-15T18:00:00Z,2026-02-15T18:52:01Z,Manhattan Jaspers @ Canisius Golden Griffins,Canisius Golden Griffins,2026-02-15,Polymarket,5.88,5.72,0.03,2.0,Not Found
d600ca0160dfb31f6fb1d2df10c2bc47,basketball_ncaab,NCAAB,2026-02-15T19:02:23Z,2026-02-15T19:19:43Z,Bradley Braves @ Southern Illinois Salukis,Southern Illinois Salukis,2026-02-15,Polymarket,3.85,3.63,0.06,2.0,Not Found
2c128b79671429f16d8483e66c331ebc,basketball_ncaab,NCAAB,2026-02-15T19:02:40Z,2026-02-15T19:19:43Z,Fairfield Stags @ Saint Peter's Peacocks,Fairfield Stags,2026-02-15,Polymarket,3.23,3.09,0.05,2.0,Not Found
bd2d3a30650ecac7e8ddbe85795ecff8,basketball_ncaab,NCAAB,2026-02-15T19:02:55Z,2026-02-15T19:19:43Z,Oakland Golden Grizzlies @ Robert Morris Colonials,Robert Morris Colonials,2026-02-15,Polymarket,2.27,2.19,0.04,2.0,Not Found
b5fc96661bb3a5cd2e03f13d569bc5c4,basketball_ncaab,NCAAB,2026-02-15T19:05:17Z,2026-02-15T19:19:43Z,South Florida Bulls @ Florida Atlantic Owls,Florida Atlantic Owls,2026-02-15,Polymarket,3.85,3.74,0.03,2.0,Not Found
