Match,League,Team,Start Time,Avg Edge Book,Avg Edge Odds,Avg Edge Pct,Result,Scrape Time
Estonia @ Italy,FIFA World Cup Qualifiers - Europe,Estonia,2025-09-05 14:46:00,Coolbet,44.0,86.37,Italy,2025-09-05 15:44:43
Israel @ Moldova,FIFA World Cup Qualifiers - Europe,Draw,2025-09-05 14:45:00,Coolbet,29.0,42.23,Israel,2025-09-05 15:44:43
Croatia @ Faroe Islands,FIFA World Cup Qualifiers - Europe,Faroe Islands,2025-09-05 14:45:00,Unibet (IT),46.0,41.84,Croatia,2025-09-05 15:44:43
France @ Ukraine,FIFA World Cup Qualifiers - Europe,Ukraine,2025-09-05 14:45:00,Coolbet,40.0,38.68,France,2025-09-05 15:44:43
Azerbaijan @ Iceland,FIFA World Cup Qualifiers - Europe,Azerbaijan,2025-09-05 14:45:00,Coolbet,35.0,21.79,Iceland,2025-09-05 15:44:43
Czechia @ Montenegro,FIFA World Cup Qualifiers - Europe,Montenegro,2025-09-05 14:45:00,Unibet (IT),15.0,16.59,Czechia,2025-09-05 15:44:43
Hampshire @ Durham,T20 Blast,Durham,2025-09-05 13:30:00,Coral,13.0,15.23,Not Found,2025-09-05 15:44:43
Carlos Alcaraz @ Novak Djokovic,ATP US Open,Novak Djokovic,2025-09-05 15:15:00,PointsBet (AU),6.5,7.0,Not Found,2025-09-05 15:44:43
Sweden @ Slovenia,FIFA World Cup Qualifiers - Europe,Slovenia,2025-09-05 14:45:00,Coolbet,12.25,5.45,Draw,2025-09-05 15:44:43
Washington Nationals @ Chicago Cubs,MLB,Washington Nationals,2025-09-05 14:21:00,Nordic Bet,15.0,31.48,Chicago Cubs,2025-09-05 16:11:23
Remo @ Amazonas FC,Brazil Série B,Remo,2025-09-05 16:00:00,Bovada,3.4,86.45,Not Found,2025-09-05 16:32:07
Scotland @ Denmark,FIFA World Cup Qualifiers - Europe,Scotland,2025-09-05 14:45:00,DraftKings,18.0,39.49,Draw,2025-09-05 16:32:07
CD Castellón @ Córdoba,La Liga 2 - Spain,Córdoba,2025-09-05 15:32:00,Pinnacle,6.76,111.9,Not Found,2025-09-05 16:48:15
Felix Auger-Aliassime @ Jannik Sinner,ATP US Open,Felix Auger-Aliassime,2025-09-05 19:00:00,1xBet,16.5,20.75,Not Found,2025-09-05 17:09:15
Scranton/Wilkes-Barre RailRiders @ Worcester Red Sox,MiLB,Scranton/Wilkes-Barre RailRiders,2025-09-05 18:05:00,Pinnacle,2.08,6.6,Not Found,2025-09-05 17:26:23
Jack Bateson @ Michael Conlan,Boxing,Draw,2025-09-05 17:23:00,888sport,29.0,7.28,Pending,2025-09-05 17:39:00
Volta Redonda @ Paysandu,Brazil Série B,Paysandu,2025-09-05 18:00:00,Bovada,1.9,31.4,Volta Redonda,2025-09-05 18:30:28
James Madison Dukes @ Louisville Cardinals,NCAAF,James Madison Dukes,2025-09-05 19:00:00,LeoVegas,6.5,6.38,Not Found,2025-09-05 18:30:28
Antigua & Barbuda Falcons @ Barbados Royals,CPLT20,Antigua & Barbuda Falcons,2025-09-05 19:00:00,Coral,2.62,5.07,Not Found,2025-09-05 18:30:28
New York Mets @ Cincinnati Reds,MLB,New York Mets,2025-09-05 18:41:00,Everygame,1.92,12.78,New York Mets,2025-09-05 18:48:27
Chicago White Sox @ Detroit Tigers,MLB,Chicago White Sox,2025-09-05 18:40:00,FanDuel,2.76,12.26,Chicago White Sox,2025-09-05 18:48:27
Milwaukee Brewers @ Pittsburgh Pirates,MLB,Pittsburgh Pirates,2025-09-05 18:41:00,888sport,2.5,6.41,Milwaukee Brewers,2025-09-05 18:48:27
Western Illinois Leathernecks @ Northwestern Wildcats,NCAAF,Western Illinois Leathernecks,2025-09-05 19:30:00,SportsBet,41.0,4000.0,Not Found,2025-09-05 19:10:15
Indianapolis Indians @ Columbus Clippers,MiLB,Columbus Clippers,2025-09-05 19:05:00,Bovada,2.45,11.05,Indianapolis Indians,2025-09-05 19:10:15
Northern Illinois Huskies @ Maryland Terrapins,NCAAF,Northern Illinois Huskies,2025-09-05 19:30:00,Marathon Bet,7.3,7.13,Not Found,2025-09-05 19:10:15
Toledo Mud Hens @ Lehigh Valley IronPigs,MiLB,Toledo Mud Hens,2025-09-05 19:05:00,Bovada,2.35,6.23,Lehigh Valley IronPigs,2025-09-05 19:10:15
Toronto Blue Jays @ New York Yankees,MLB,Toronto Blue Jays,2025-09-05 19:15:00,TAB,2.2,21.51,Toronto Blue Jays,2025-09-05 19:27:04
Seattle Mariners @ Atlanta Braves,MLB,Atlanta Braves,2025-09-05 19:16:00,LowVig.ag,1.89,10.89,Atlanta Braves,2025-09-05 19:27:04
Philadelphia Phillies @ Miami Marlins,MLB,Miami Marlins,2025-09-05 19:11:00,TAB,4.5,7.76,Philadelphia Phillies,2025-09-05 19:27:04
Chicago Sky @ Indiana Fever,WNBA,Chicago Sky,2025-09-05 19:32:27,GTbets,9.35,34.64,Indiana Fever,2025-09-05 19:39:33
Los Angeles Sparks @ Atlanta Dream,WNBA,Atlanta Dream,2025-09-05 19:32:42,MyBookie.ag,1.6,8.14,Atlanta Dream,2025-09-05 19:39:33
BC Lions @ Ottawa Redblacks,CFL,Ottawa Redblacks,2025-09-05 19:38:28,Unibet (IT),3.5,5.46,Not Found,2025-09-05 19:39:33
Cleveland Guardians @ Tampa Bay Rays,MLB,Cleveland Guardians,2025-09-05 19:46:00,TAB,2.4,5.83,Tampa Bay Rays,2025-09-05 19:50:31
San Francisco Giants @ St. Louis Cardinals,MLB,San Francisco Giants,2025-09-05 20:16:00,William Hill,2.0,32.34,San Francisco Giants,2025-09-05 20:48:00
Rene Tellez Giron @ Jordan White,Boxing,Rene Tellez Giron,2025-09-05 22:00:00,Pinnacle,8.21,20.34,Not Found,2025-09-05 20:48:00
Kansas City Chiefs @ Los Angeles Chargers,NFL,Los Angeles Chargers,2025-09-05 20:11:06,MyBookie.ag,1.7,13.75,Kansas City Chiefs,2025-09-05 20:48:00
Los Angeles Dodgers @ Baltimore Orioles,MLB,Baltimore Orioles,2025-09-05 19:06:00,MyBookie.ag,2.3,13.21,Baltimore Orioles,2025-09-05 20:48:00
Houston Astros @ Texas Rangers,MLB,Texas Rangers,2025-09-05 20:06:00,Bovada,2.15,11.44,Texas Rangers,2025-09-05 20:48:00
San Diego Padres @ Colorado Rockies,MLB,Colorado Rockies,2025-09-05 20:40:43,Pinnacle,2.85,7.07,Colorado Rockies,2025-09-05 20:48:00
Oakland Athletics @ Los Angeles Angels,MLB,Oakland Athletics,2025-09-05 21:39:00,MyBookie.ag,4.0,30.2,Oakland Athletics,2025-09-05 22:13:39
Penrith Panthers @ St George Illawarra Dragons,NRL,Draw,2025-09-06 01:00:00,Marathon Bet,36.0,20.57,Not Found,2025-09-05 22:13:39
Wests Tigers @ Gold Coast Titans,NRL,Draw,2025-09-06 03:30:00,Marathon Bet,27.0,14.85,Not Found,2025-09-05 22:13:39
Boston Red Sox @ Arizona Diamondbacks,MLB,Arizona Diamondbacks,2025-09-05 21:41:00,William Hill,2.1,14.08,Arizona Diamondbacks,2025-09-05 22:13:39
