Match,League,Team,Start Time,Outlier Book,Outlier Odds,Z Score,Avg Edge Pct,Result,Scrape Time
Cleveland Guardians @ Detroit Tigers,MLB,Cleveland Guardians,2025-09-18 13:11:00,MyBookie.ag,1.4,4.97,,Cleveland Guardians,2025-09-18 15:19:40
Galatasaray @ Eintracht Frankfurt,UEFA Champions League,Galatasaray,2025-09-18 15:00:00,Pinnacle,2.92,4.12,,Eintracht Frankfurt,2025-09-18 15:19:40
Napoli @ Manchester City,UEFA Champions League,Manchester City,2025-09-18 15:00:00,PointsBet (AU),1.67,2.95,,Manchester City,2025-09-18 15:19:40
Toronto Blue Jays @ Tampa Bay Rays,MLB,Tampa Bay Rays,2025-09-18 13:11:00,GTbets,1.06,2.83,,Tampa Bay Rays,2025-09-18 15:19:40
Seattle Mariners @ Kansas City Royals,MLB,Seattle Mariners,2025-09-18 14:11:00,Betway,1.67,2.68,,Kansas City Royals,2025-09-18 15:19:40
Oakland Athletics @ Boston Red Sox,MLB,Oakland Athletics,2025-09-18 13:36:00,Bet Victor,1.45,2.67,,Boston Red Sox,2025-09-18 15:19:40
Leksands IF @ Malmö Redhawks,SHL,Draw,2025-09-18 13:00:00,Betway,1.36,2.61,,Malmö Redhawks,2025-09-18 15:19:40
Barcelona @ Newcastle United,UEFA Champions League,Draw,2025-09-18 15:00:00,Suprabets,3.85,2.39,,Barcelona,2025-09-18 15:19:40
Sao Paulo @ LDU Quito,Copa Libertadores,LDU Quito,2025-09-18 18:00:00,Suprabets,2.13,2.18,,LDU Quito,2025-09-18 15:19:40
San Diego Padres @ New York Mets,MLB,San Diego Padres,2025-09-18 13:11:00,Nordic Bet,40.0,2.1,,San Diego Padres,2025-09-18 15:19:40
Indianapolis Indians @ Gwinnett Stripers,MiLB,Indianapolis Indians,2025-09-18 19:05:00,BetOnline.ag,1.83,2.07,,Indianapolis Indians,2025-09-18 15:19:40
Miami Marlins @ Colorado Rockies,MLB,Colorado Rockies,2025-09-18 15:11:04,LeoVegas (SE),2.9,4.43,,Miami Marlins,2025-09-18 15:48:39
Omaha Storm Chasers @ Columbus Clippers,MiLB,Omaha Storm Chasers,2025-09-18 18:15:00,BetOnline.ag,2.0,2.02,,Omaha Storm Chasers,2025-09-18 16:11:48
Rochester Red Wings @ Worcester Red Sox,MiLB,Worcester Red Sox,2025-09-18 18:05:00,BetOnline.ag,2.05,2.02,,Rochester Red Wings,2025-09-18 16:11:48
Syracuse Mets @ Lehigh Valley IronPigs,MiLB,Lehigh Valley IronPigs,2025-09-18 18:45:00,BetOnline.ag,1.83,2.05,,Lehigh Valley IronPigs,2025-09-18 17:28:05
Durham Bulls @ Charlotte Knights,MiLB,Durham Bulls,2025-09-18 19:04:00,BetOnline.ag,1.8,2.37,,Durham Bulls,2025-09-18 18:09:14
Indiana Fever @ Atlanta Dream,WNBA,Indiana Fever,2025-09-18 19:30:00,BetMGM,4.0,2.3,,Indiana Fever,2025-09-18 18:09:14
Chicago Cubs @ Cincinnati Reds,MLB,Chicago Cubs,2025-09-18 19:16:00,TAB,2.3,2.28,,Cincinnati Reds,2025-09-18 18:09:14
Los Angeles Angels @ Milwaukee Brewers,MLB,Milwaukee Brewers,2025-09-18 19:41:00,Bovada,1.54,4.9,,Milwaukee Brewers,2025-09-18 18:48:20
Nashville Sounds @ Louisville Bats,MiLB,Nashville Sounds,2025-09-18 18:35:00,Bovada,1.74,2.06,,Nashville Sounds,2025-09-18 18:48:20
Miami Dolphins @ Buffalo Bills,NFL,Buffalo Bills,2025-09-18 20:15:00,Pinnacle,1.15,2.44,,Buffalo Bills,2025-09-18 19:10:10
Universidad de Chile @ Alianza Lima,Copa Sudamericana,Alianza Lima,2025-09-18 20:30:00,Coolbet,2.8,2.44,,Draw,2025-09-18 19:26:51
