Match,League,Team,Start Time,Outlier Book,Outlier Odds,Modified Z Score,Avg Edge Pct,Result,Scrape Time
Pittsburgh Panthers @ Florida State Seminoles,NCAAF,Pittsburgh Panthers,2025-10-11 12:00:00,FanDuel,4.5,2.28,3.4,Pittsburgh Panthers,2025-10-11 10:59:03
TCU Horned Frogs @ Kansas State Wildcats,NCAAF,Kansas State Wildcats,2025-10-11 12:32:00,Caesars,1.59,2.15,20.43,Kansas State Wildcats,2025-10-11 17:59:15
Iowa State Cyclones @ Colorado Buffaloes,NCAAF,Iowa State Cyclones,2025-10-11 12:36:00,Caesars,2.95,3.19,15.97,Colorado Buffaloes,2025-10-11 18:27:54
Georgia Bulldogs @ Auburn Tigers,NCAAF,Auburn Tigers,2025-10-11 15:30:00,FanDuel,9.0,3.95,24.64,Georgia Bulldogs,2025-10-11 23:09:23
Denver Broncos @ New York Jets,NFL,New York Jets,2025-10-12 09:30:00,DraftKings,4.4,3.82,3.58,Denver Broncos,2025-10-12 07:59:14
Arizona Cardinals @ Indianapolis Colts,NFL,Arizona Cardinals,2025-10-12 13:01:00,BetMGM,4.75,2.36,3.41,Indianapolis Colts,2025-10-12 12:59:27
Cincinnati Bengals @ Green Bay Packers,NFL,Cincinnati Bengals,2025-10-12 16:28:00,FanDuel,12.0,2.01,69.74,Green Bay Packers,2025-10-12 18:58:57
Seattle Mariners @ Toronto Blue Jays,MLB,Toronto Blue Jays,2025-10-12 20:04:45,Caesars,3.6,4.11,28.48,Seattle Mariners,2025-10-12 22:08:26
Detroit Lions @ Kansas City Chiefs,NFL,Detroit Lions,2025-10-12 20:22:43,FanDuel,6.4,2.53,46.07,Kansas City Chiefs,2025-10-12 22:08:26
New Mexico State Aggies @ Liberty Flames,NCAAF,New Mexico State Aggies,2025-10-14 19:00:00,FanDuel,8.5,2.09,28.17,Not Found,2025-10-14 19:59:04
Vegas Golden Knights @ Calgary Flames,NHL,Calgary Flames,2025-10-14 21:08:12,Caesars,19.0,3.51,60.3,Not Found,2025-10-14 23:43:51
