Match,League,Team,Start Time,Pinnacle Edge Book,Pinnacle Edge Odds,Pinnacle Fair Odds,Pin Edge Pct,Result,Scrape Time
Moreirense FC @ Sporting Lisbon,Primeira Liga - Portugal,Sporting Lisbon,2025-09-22 15:15:00,Pinnacle,1.76,1.0,76.0,Not Found,2025-09-22 17:12:41
Detroit Lions @ Baltimore Ravens,NFL,Baltimore Ravens,2025-09-22 20:16:07,GTbets,1.76,1.49,18.28,Detroit Lions,2025-09-22 20:27:59
Newells Old Boys @ Belgrano de Cordoba,Primera División - Argentina,Newells Old Boys,2025-09-22 19:59:00,Unibet (SE),21.0,5.27,298.22,Not Found,2025-09-22 20:46:34
Milwaukee Brewers @ San Diego Padres,MLB,Milwaukee Brewers,2025-09-22 21:41:00,BetMGM,2.15,2.0,7.5,San Diego Padres,2025-09-22 21:47:34
Washington Nationals @ Atlanta Braves,MLB,Atlanta Braves,2025-09-22 19:17:00,Pinnacle,1.06,1.0,6.0,Atlanta Braves,2025-09-22 21:47:34
St. Louis Cardinals @ San Francisco Giants,MLB,St. Louis Cardinals,2025-09-22 21:45:51,GTbets,2.35,2.22,5.93,St. Louis Cardinals,2025-09-22 22:43:34
Orix Buffaloes @ Fukuoka SoftBank Hawks,NPB,Orix Buffaloes,2025-09-23 01:00:00,Bovada,2.8,2.5,12.0,Orix Buffaloes,2025-09-23 01:25:33
Nagoya Grampus @ Albirex Niigata,J League,Draw,2025-09-23 01:00:00,Bovada,3.3,2.99,10.52,Draw,2025-09-23 01:25:33
Tohoku Rakuten Golden Eagles @ Hokkaido Nippon-Ham Fighters,NPB,Hokkaido Nippon-Ham Fighters,2025-09-23 01:01:57,Unibet,3.8,2.73,39.21,Tohoku Rakuten Golden Eagles,2025-09-23 01:30:18
Hanshin Tigers @ Yokohama DeNA BayStars,NPB,Hanshin Tigers,2025-09-23 01:00:54,Unibet,4.4,3.55,24.1,Draw,2025-09-23 01:57:46
Cerezo Osaka @ Kashima Antlers,J League,Cerezo Osaka,2025-09-23 05:00:00,Coolbet,3.3,2.99,10.19,Kashima Antlers,2025-09-23 02:57:33
Yokohama FC @ Fagiano Okayama,J League,Yokohama FC,2025-09-23 05:00:00,Bovada,3.1,2.92,6.18,Draw,2025-09-23 02:57:33
Urawa Red Diamonds @ Shimizu S Pulse,J League,Urawa Red Diamonds,2025-09-23 05:00:00,Bovada,2.53,2.39,6.06,Draw,2025-09-23 04:35:35
Chunichi Dragons @ Tokyo Yakult Swallows,NPB,Chunichi Dragons,2025-09-23 05:00:00,BetUS,1.91,1.82,5.07,Chunichi Dragons,2025-09-23 04:35:35
Saitama Seibu Lions @ Chiba Lotte Marines,NPB,Saitama Seibu Lions,2025-09-23 05:00:00,William Hill,1.99,1.78,11.97,Chiba Lotte Marines,2025-09-23 04:58:09
Doosan Bears @ Samsung Lions,KBO,Samsung Lions,2025-09-23 05:30:00,1xBet,1.67,1.54,8.23,Samsung Lions,2025-09-23 04:58:09
Yomiuri Giants @ Hiroshima Toyo Carp,NPB,Hiroshima Toyo Carp,2025-09-23 05:01:34,Bovada,1.87,1.33,40.99,Hiroshima Toyo Carp,2025-09-23 05:30:11
Kia Tigers @ SSG Landers,KBO,SSG Landers,2025-09-23 05:30:00,Bovada,2.05,1.74,18.13,SSG Landers,2025-09-23 05:30:11
NC Dinos @ Lotte Giants,KBO,Lotte Giants,2025-09-23 05:30:00,Bovada,1.83,1.67,9.52,NC Dinos,2025-09-23 05:30:11
Avispa Fukuoka @ FC Tokyo,J League,FC Tokyo,2025-09-23 05:03:00,Unibet,2.6,2.38,9.27,FC Tokyo,2025-09-23 05:30:11
Yokohama F Marinos @ Gamba Osaka,J League,Gamba Osaka,2025-09-23 06:00:00,Bovada,1.81,1.7,6.43,Gamba Osaka,2025-09-23 05:30:11
Kawasaki Frontale @ Shonan Bellmare,J League,Shonan Bellmare,2025-09-23 06:03:00,DraftKings,11.0,4.15,165.35,Kawasaki Frontale,2025-09-23 06:32:37
FC Machida Zelvia @ Kyoto Purple Sanga,J League,Kyoto Purple Sanga,2025-09-23 06:03:00,Coolbet,9.0,3.49,158.03,Draw,2025-09-23 06:32:37
TPS @ Tappara,Liiga,TPS,2025-09-23 11:30:00,Coolbet,4.2,2.88,45.69,TPS Turku,2025-09-23 06:32:37
Kiwoom Heroes @ KT Wiz,KBO,KT Wiz,2025-09-23 05:30:23,Bovada,1.74,1.27,37.22,KT Wiz,2025-09-23 06:32:37
Tokyo Verdy @ Vissel Kobe,J League,Vissel Kobe,2025-09-23 06:03:00,Bovada,1.7,1.29,31.89,Vissel Kobe,2025-09-23 06:32:37
Ketterä @ Pyry,Mestis,Pyry,2025-09-23 11:30:00,Unibet,4.1,3.19,28.72,Not Found,2025-09-23 06:32:37
SJK Seinäjoki @ KuPS Kuopio,Veikkausliiga - Finland,SJK Seinäjoki,2025-09-23 11:00:00,Bovada,3.4,3.12,8.8,KuPS Kuopio,2025-09-23 06:32:37
Hiroshima Sanfrecce FC @ Kashiwa Reysol,J League,Kashiwa Reysol,2025-09-23 06:03:00,FanDuel,5.3,4.64,14.13,Draw,2025-09-23 07:23:44
IF Gnistan @ Ilves Tampere,Veikkausliiga - Finland,Ilves Tampere,2025-09-23 11:00:00,Bovada,1.41,1.23,14.79,Ilves Tampere,2025-09-23 11:58:11
HJK Helsinki @ FC Inter Turku,Veikkausliiga - Finland,Draw,2025-09-23 12:01:00,Bovada,3.75,2.82,32.96,Draw,2025-09-23 12:57:37
Girona @ Athletic Bilbao,La Liga - Spain,Athletic Bilbao,2025-09-23 13:02:00,Unibet,2.65,2.34,13.14,Draw,2025-09-23 13:26:35
Valencia @ Espanyol,La Liga - Spain,Valencia,2025-09-23 12:59:00,Bovada,3.2,1.87,71.5,Draw,2025-09-23 13:57:51
Clermont @ Stade de Reims,Ligue 2 - France,Clermont,2025-09-23 14:30:00,FanDuel,17.0,6.72,153.03,Stade de Reims,2025-09-23 14:39:04
Nancy @ Annecy FC,Ligue 2 - France,Nancy,2025-09-23 14:30:00,Unibet (IT),6.5,3.09,110.69,Nancy,2025-09-23 14:39:04
USL Dunkerque @ Guingamp,Ligue 2 - France,USL Dunkerque,2025-09-23 14:30:00,Tipico,6.0,2.99,100.7,Guingamp,2025-09-23 14:39:04
Cardiff City @ Burnley,EFL Cup,Cardiff City,2025-09-23 14:45:00,Bovada,5.75,3.97,44.99,Cardiff City,2025-09-23 14:39:04
Cambridge United @ Fulham,EFL Cup,Cambridge United,2025-09-23 14:45:00,Bet Victor,29.0,20.71,40.06,Fulham,2025-09-23 14:39:04
Chelsea @ Lincoln City,EFL Cup,Lincoln City,2025-09-23 14:45:00,Bet Victor,15.0,12.99,15.49,Chelsea,2025-09-23 14:39:04
Brighton and Hove Albion @ Barnsley,EFL Cup,Barnsley,2025-09-23 14:45:00,Bet Victor,11.0,9.97,10.36,Brighton and Hove Albion,2025-09-23 14:39:04
Grenoble @ Le Mans FC,Ligue 2 - France,Le Mans FC,2025-09-23 14:30:00,Tipico,4.7,2.18,115.46,Le Mans FC,2025-09-23 14:57:45
Boulogne @ Montpellier,Ligue 2 - France,Boulogne,2025-09-23 14:32:00,DraftKings,6.5,5.84,11.39,Boulogne,2025-09-23 14:57:45
Real Madrid @ Levante,La Liga - Spain,Levante,2025-09-23 15:30:00,BetOnline.ag,9.35,8.58,8.95,Real Madrid,2025-09-23 14:57:45
Stade Lavallois @ Pau FC,Ligue 2 - France,Pau FC,2025-09-23 14:30:00,Coolbet,2.5,2.34,6.89,Pau FC,2025-09-23 14:57:45
Gent @ Anderlecht,Belgium First Div,Gent,2025-09-23 14:30:00,Unibet (SE),4.5,4.22,6.51,Anderlecht,2025-09-23 14:57:45
Rio Ave FC @ Benfica,Primeira Liga - Portugal,Draw,2025-09-23 15:15:00,Sky Bet,10.0,9.48,5.48,Not Found,2025-09-23 14:57:45
Hibernian @ Falkirk F.C.,Premiership - Scotland,Falkirk F.C.,2025-09-23 14:44:00,Paddy Power,11.0,3.94,179.33,Draw,2025-09-23 15:23:20
Wycombe Wanderers @ Wigan Athletic,EFL Cup,Wigan Athletic,2025-09-23 14:45:00,Unibet (NL),6.75,2.97,127.18,Wycombe Wanderers,2025-09-23 15:23:20
Everton @ Wolverhampton Wanderers,EFL Cup,Everton,2025-09-23 14:45:00,Unibet (NL),6.0,2.75,118.39,Wolverhampton Wanderers,2025-09-23 15:23:20
Troyes @ Red Star,Ligue 2 - France,Red Star,2025-09-23 14:29:00,Coolbet,10.0,7.1,40.76,Troyes,2025-09-23 15:23:20
Rodez AF @ SC Bastia,Ligue 2 - France,Rodez AF,2025-09-23 14:30:00,Coolbet,16.0,13.73,16.55,Rodez AF,2025-09-23 15:23:20
