ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,Start Date,Best Bookmaker,Best Odds,Outcomes,Result
5fb7640644461400163fceb8463ec695,basketball_ncaab,NCAAB,2026-02-15T01:30:00Z,2026-02-15T02:34:38Z,Marshall Thundering Herd @ Georgia Southern Eagles,Marshall Thundering Herd,,Kalshi,11.11,2.0,Not Found
2b9b4fc9dfd5a90f4649704f8b4e829d,basketball_ncaab,NCAAB,2026-02-15T03:00:00Z,2026-02-15T02:34:38Z,CSU Fullerton Titans @ UC Irvine Anteaters,CSU Fullerton Titans,,Kalshi,4.0,2.0,Not Found
70d71f54008cc55a3cd1f5251046264d,basketball_ncaab,NCAAB,2026-02-15T03:30:00Z,2026-02-15T02:34:38Z,Gonzaga Bulldogs @ Santa Clara Broncos,Gonzaga Bulldogs,,Kalshi,1.45,2.0,Not Found
d513190b89e339bed96079aa57b72d2d,basketball_ncaab,NCAAB,2026-02-15T01:40:10Z,2026-02-15T02:34:38Z,Auburn Tigers @ Arkansas Razorbacks,Arkansas Razorbacks,,Kalshi,1.18,2.0,Not Found
2af5dd9cc92470be266f4c6f519c62de,basketball_ncaab,NCAAB,2026-02-15T01:06:21Z,2026-02-15T02:50:10Z,Virginia Cavaliers @ Ohio State Buckeyes,Ohio State Buckeyes,2026-02-15,Kalshi,2.33,2.0,Not Found
8f1eba0bfbd9de74c1554b25c00723cc,icehockey_ahl,AHL,2026-02-15T02:07:00Z,2026-02-15T02:50:10Z,Bakersfield Condors @ San Diego Gulls,San Diego Gulls,2026-02-15,Kalshi,1.54,2.0,Not Found
30e71279da99d0f29bfe843ae9cb9a56,basketball_wncaab,WNCAAB,2026-02-15T01:30:00Z,2026-02-15T02:51:24Z,South Carolina Gamecocks @ LSU Tigers,LSU Tigers,2026-02-15,Kalshi,2.7,2.0,Not Found
0b5aea2638734481908f855c79b5d627,basketball_ncaab,NCAAB,2026-02-15T01:02:11Z,2026-02-15T02:51:24Z,Middle Tennessee Blue Raiders @ Western Kentucky Hilltoppers,Middle Tennessee Blue Raiders,2026-02-15,Kalshi,1.59,2.0,Not Found
a350176bb251d2658e435618e29f4843,soccer_japan_j_league,J League,2026-02-15T07:00:00Z,2026-02-15T04:31:54Z,Nagoya Grampus @ Gamba Osaka,Gamba Osaka,2026-02-15,,,3.0,Not Found
e23cf87298214a56b1ec547225d6505e,soccer_japan_j_league,J League,2026-02-15T06:00:00Z,2026-02-15T06:33:56Z,Cerezo Osaka @ Avispa Fukuoka,Draw,2026-02-15,,,3.0,Not Found
854baf20ac9d88c3cdc2f462bf1fe620,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T07:00:00Z,2026-02-15T06:33:56Z,Ann Li @ Linda Noskova,Linda Noskova,2026-02-15,,,2.0,Not Found
52140d72adfbe63e245c07377d05bc7b,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T07:00:00Z,2026-02-15T06:33:56Z,Janice Tjen @ Dayana Yastremska,Dayana Yastremska,2026-02-15,,,2.0,Not Found
1aa08d3931e860f8666c7fcfe127460d,cricket_t20_world_cup,T20 World Cup,2026-02-15T05:30:00Z,2026-02-15T07:25:22Z,Nepal @ West Indies,West Indies,2026-02-15,,,2.0,Not Found
1481c89900b11f60645cad7ce73d15b5,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T08:30:00Z,2026-02-15T07:25:22Z,Elise Mertens @ Marie Bouzkova,Elise Mertens,2026-02-15,,,2.0,Not Found
bbfe4dcd89b5188df8633efe426d2238,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T10:00:00Z,2026-02-15T07:25:22Z,Barbora Krejcikova @ Anastasia Pavlyuchenkova,Barbora Krejcikova,2026-02-15,,,2.0,Not Found
dd9b99d2fbc5491023c469d4053edf06,boxing_boxing,Boxing,2026-02-15T10:00:00Z,2026-02-15T07:56:19Z,Bryan Mercado Vazquez @ Ryosuke Nishida,Draw,2026-02-15,,,3.0,Not Found
919a03e42278bdc27d988193ab8d7323,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T09:00:00Z,2026-02-15T08:48:28Z,Magdalena Frech @ Peyton Stearns,Magdalena Frech,2026-02-15,,,2.0,Not Found
5fb42aa0984977ce6d7dee14b90db5e4,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T09:00:00Z,2026-02-15T08:48:28Z,Qinwen Zheng @ Peyton Stearns,Qinwen Zheng,2026-02-15,,,2.0,Not Found
09bf8da2a9ab49ed401d5ca56ab26e10,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T09:01:53Z,2026-02-15T08:48:28Z,Kimberly Birrell @ Tatjana Maria,Tatjana Maria,2026-02-15,,,2.0,Not Found
4a28ad9622db72b0a7c4023ec79c66e4,tennis_atp_qatar_open,ATP Qatar Open,2026-02-15T10:30:00Z,2026-02-15T09:18:46Z,Jan Choinski @ Quentin Halys,Quentin Halys,2026-02-15,,,2.0,Not Found
759feabd91596923bbdd2813dee50cc9,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T10:30:00Z,2026-02-15T09:51:33Z,Leylah Fernandez @ Liudmila Samsonova,Leylah Fernandez,2026-02-15,,,2.0,Not Found
bcbc21b6909659a4d61d2d02e7f6676c,cricket_t20_world_cup,T20 World Cup,2026-02-15T09:30:00Z,2026-02-15T10:17:42Z,Namibia @ USA,Namibia,2026-02-15,,,2.0,Not Found
b04b1cb2eba641d9ebacaa93fa1e4593,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T10:20:00Z,2026-02-15T10:17:42Z,Cristina Bucsa @ Ella Seidel,Cristina Bucsa,2026-02-15,,,2.0,Not Found
059bfb9565359ae008d9141d0c0ad7df,tennis_atp_qatar_open,ATP Qatar Open,2026-02-15T10:30:00Z,2026-02-15T10:17:42Z,Billy Harris @ Pablo Carreno Busta,Pablo Carreno Busta,2026-02-15,,,2.0,Not Found
252755fae293186e71b0d98299321a85,soccer_netherlands_eredivisie,Dutch Eredivisie,2026-02-15T11:15:00Z,2026-02-15T10:17:42Z,Go Ahead Eagles @ Feyenoord,Go Ahead Eagles,2026-02-15,,,3.0,Not Found
3f8395e0106a8babefc0201ae6824c44,soccer_turkey_super_league,Turkey Super League,2026-02-15T11:30:00Z,2026-02-15T10:50:08Z,Gazişehir Gaziantep @ Kocaelispor,Draw,2026-02-15,,,3.0,Not Found
bc39f7c4c6571b3cae278064db701dfe,soccer_fa_cup,FA Cup,2026-02-15T12:00:00Z,2026-02-15T10:50:08Z,Leeds United @ Birmingham City,Leeds United,2026-02-15,,,3.0,Not Found
73f5324c1a67d5fa1f4389ce5121b607,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T11:40:00Z,2026-02-15T11:13:09Z,Maya Joint @ Diana Shnaider,Maya Joint,2026-02-15,,,2.0,Not Found
5a16e02af0972172c53e8888aebdd48a,soccer_italy_serie_a,Serie A - Italy,2026-02-15T11:31:00Z,2026-02-15T11:55:41Z,Sassuolo @ Udinese,Udinese,2026-02-15,,,3.0,Not Found
8f1bf64eb20aeb341279a739037bec37,soccer_germany_liga3,3. Liga - Germany,2026-02-15T12:30:00Z,2026-02-15T11:55:41Z,Waldhof Mannheim @ FC Energie Cottbus,Waldhof Mannheim,2026-02-15,,,3.0,Not Found
cca95f201dc19dfb9591539dd0e77a59,soccer_germany_bundesliga2,Bundesliga 2 - Germany,2026-02-15T12:30:00Z,2026-02-15T11:55:41Z,FC Schalke 04 @ Holstein Kiel,Draw,2026-02-15,,,3.0,Not Found
ce7f99e1c0b913c7c609fd0be996f730,soccer_germany_bundesliga2,Bundesliga 2 - Germany,2026-02-15T12:30:00Z,2026-02-15T13:11:25Z,SC Paderborn @ VfL Bochum,Draw,2026-02-15,,,3.0,Not Found
b5085cc1ac313f645a18bbc9ac58d7df,soccer_spain_la_liga,La Liga - Spain,2026-02-15T13:00:00Z,2026-02-15T13:11:25Z,Athletic Bilbao @ Oviedo,Draw,2026-02-15,,,3.0,Not Found
ced8fafdc3eca1735d2a71557330cdbb,soccer_denmark_superliga,Denmark Superliga,2026-02-15T13:01:00Z,2026-02-15T13:11:25Z,AGF Aarhus @ FC Fredericia,FC Fredericia,2026-02-15,,,3.0,Not Found
613579236bbb3349821966099f9b4087,soccer_netherlands_eredivisie,Dutch Eredivisie,2026-02-15T13:30:00Z,2026-02-15T13:11:25Z,FC Zwolle @ Heerenveen,Draw,2026-02-15,,,3.0,Not Found
3403cea1bd872bfd09ba11877749ac2d,soccer_spain_segunda_division,La Liga 2 - Spain,2026-02-15T13:00:00Z,2026-02-15T13:54:34Z,Las Palmas @ CD Mirandés,Draw,2026-02-15,,,3.0,Not Found
2975896ad035697fb67f49ee686e027a,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T13:40:00Z,2026-02-15T13:54:34Z,Magda Linette @ Lulu Sun,Lulu Sun,2026-02-15,,,2.0,Not Found
553d4ee886ebb32e1bf4497022ea82d3,handball_germany_bundesliga,Handball-Bundesliga,2026-02-15T14:00:36Z,2026-02-15T14:27:20Z,HC Erlangen @ TBV Lemgo,HC Erlangen,2026-02-15,,,3.0,Not Found
0e883224595b61d099e9454758f9979f,soccer_italy_serie_b,Serie B - Italy,2026-02-15T14:01:00Z,2026-02-15T14:27:20Z,Südtirol @ Bari,Draw,2026-02-15,,,3.0,Not Found
17084b8fbdc814102ced21a406259575,soccer_germany_bundesliga_women,Frauen-Bundesliga,2026-02-15T15:00:00Z,2026-02-15T14:27:20Z,Eintracht Frankfurt @ Carl Zeiss Jena,Draw,2026-02-15,,,3.0,Not Found
a5b65d77cd063f260438df410059a3dd,soccer_italy_serie_a,Serie A - Italy,2026-02-15T14:00:00Z,2026-02-15T14:55:58Z,Genoa @ Cremonese,Draw,2026-02-15,,,3.0,Not Found
4008b8296bc717d12743f7fa654ff49f,soccer_turkey_super_league,Turkey Super League,2026-02-15T14:03:00Z,2026-02-15T14:55:58Z,Kayserispor @ Goztepe,Draw,2026-02-15,,,3.0,Not Found
894159cef0af572fe75695fd50bfcbd5,soccer_belgium_first_div,Belgium First Div,2026-02-15T15:00:00Z,2026-02-15T14:55:58Z,Westerlo @ Royal Antwerp,Royal Antwerp,2026-02-15,,,3.0,Not Found
84972e527d4f9a85c54dc22e54afc178,soccer_spl,Premiership - Scotland,2026-02-15T14:29:00Z,2026-02-15T15:35:44Z,Aberdeen @ Motherwell,Motherwell,2026-02-15,,,3.0,Not Found
0c167eb18455dd93b9d61c0b8264996f,soccer_spain_segunda_division,La Liga 2 - Spain,2026-02-15T15:15:00Z,2026-02-15T15:35:44Z,Real Racing Club de Santander @ SD Eibar,SD Eibar,2026-02-15,,,3.0,Not Found
14f72ffc4557bddc3b67a25eb069348a,soccer_switzerland_superleague,Swiss Superleague,2026-02-15T15:31:00Z,2026-02-15T15:35:44Z,Servette @ FC Lausanne-Sport,Servette,2026-02-15,,,3.0,Not Found
bd22cd8181ef15e5306dcf528847979c,soccer_switzerland_superleague,Swiss Superleague,2026-02-15T15:30:00Z,2026-02-15T15:55:17Z,FC Lugano @ FC Basel,Draw,2026-02-15,,,3.0,Not Found
caa9c3aa585ac28d95f7e5b10b6830f5,basketball_ncaab,NCAAB,2026-02-15T17:00:00Z,2026-02-15T16:32:43Z,Utah Utes @ Cincinnati Bearcats,Utah Utes,2026-02-15,Kalshi,7.14,2.0,Not Found
50bf89739afdc7d38a931070c213cb19,handball_germany_bundesliga,Handball-Bundesliga,2026-02-15T15:30:25Z,2026-02-15T16:32:43Z,SG Flensburg-Handewitt @ HSV Hamburg,HSV Hamburg,2026-02-15,,,3.0,Not Found
fdbc54a62aee18d435e9f889c40f16f6,soccer_france_ligue_one,Ligue 1 - France,2026-02-15T16:15:00Z,2026-02-15T16:32:43Z,Angers @ Lorient,Draw,2026-02-15,,,3.0,Not Found
